spot_number,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,unique_zone,number_of_times_occupied,number_of_unique_cars,spot_type
93,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9Right,0,0,Resident Only
94,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Right,15,1,Resident Only
95,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,9Right,14,3,Resident Only
96,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,9Right,13,7,Resident Only
97,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,9Right,13,3,Resident Only
98,false,true,false,false,false,false,false,false,false,false,false,true,true,true,true,9Right,5,2,Resident Only
99,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,9Right,5,2,Resident Only
100,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Right,15,1,Resident Only
101,true,true,false,false,false,false,false,false,false,true,true,true,true,true,true,9Right,8,2,Handicapped
102,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Right,15,1,Resident Only
103,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,9Right,10,4,Resident Only
104,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,9Right,5,1,Resident Only
105,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9Right,0,0,Resident Only
106,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Right,15,1,Resident Only
107,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Right,15,1,Resident Only
108,false,false,false,false,false,true,false,false,false,true,true,true,true,true,true,9Right,7,2,Resident Only
109,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,9Right,5,1,Resident Only
110,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,9Right,11,3,Resident Only
111,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,9Right,14,2,Resident Only
112,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,9Right,13,3,Resident Only
113,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Right,15,1,Resident Only
114,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,15,1,Resident Only
115,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,14,5,Resident Only
116,true,true,true,true,false,false,false,false,false,false,false,true,true,true,true,10aRight,8,3,Resident Only
117,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,10aRight,12,3,Resident Only
118,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,15,4,Resident Only
119,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,10aRight,14,5,Resident Only
120,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,10aRight,12,5,Resident Only
121,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10aRight,0,0,Resident Only
122,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,15,1,Resident Only
123,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,15,2,Resident Only
124,true,false,false,false,false,true,false,true,true,true,true,true,true,false,true,10aRight,9,5,Resident Only
125,true,true,false,false,true,true,true,true,true,false,false,false,true,true,true,10aRight,10,6,Resident Only
126,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,13,4,Resident Only
127,true,true,true,false,true,false,false,false,false,false,false,true,false,false,false,10aRight,5,3,Resident Only
128,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,10aRight,14,2,Resident Only
129,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,15,3,Resident Only
130,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,10aRight,13,5,Resident Only
131,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,10aRight,15,2,Resident Only
132,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,10aRight,14,4,Resident Only
133,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,10aRight,12,4,Resident Only
